descriptor,exp_full,exp_good,comp_full,comp_good,exp_full_abs,exp_full_abs_rank,exp_good_abs,exp_good_abs_rank,comp_full_abs,comp_full_abs_rank,comp_good_abs,comp_good_abs_rank
sterimol_B1_max,-0.48096805840906914,-0.4987778546058469,-0.04368554481758699,-0.3272815568761439,0.48096805840906914,31.0,0.4987778546058469,33.0,0.04368554481758699,162.0,0.3272815568761439,58.0
sterimol_B1_min,0.19415885598462315,0.24991490209671965,0.25224950105049887,0.26876713082365583,0.19415885598462315,91.0,0.24991490209671965,83.0,0.25224950105049887,54.0,0.26876713082365583,73.0
sterimol_B1_vburminconf,-0.18048900349251115,-0.13860491567850003,0.1804226277330852,-0.01102543022021249,0.18048900349251115,96.0,0.13860491567850003,129.0,0.1804226277330852,88.0,0.01102543022021249,184.0
sterimol_B5_boltz,-0.1050673137884755,-0.17909082956445077,0.007589266806988327,-0.11211206589631773,0.1050673137884755,126.0,0.17909082956445077,109.0,0.007589266806988327,180.0,0.11211206589631773,138.0
sterimol_B5_delta,-0.22522103147139164,-0.16913515497589524,0.006897113114370457,-0.26799013424869944,0.22522103147139164,81.0,0.16913515497589524,112.0,0.006897113114370457,181.0,0.26799013424869944,74.0
sterimol_B5_max,-0.09857651250353781,-0.09933586074289469,0.03647741585508726,-0.16128136396404355,0.09857651250353781,130.0,0.09933586074289469,142.0,0.03647741585508726,163.0,0.16128136396404355,110.0
sterimol_B5_min,0.07760502775921559,0.02794852672119188,0.057684462483949844,0.03743462807102733,0.07760502775921559,141.0,0.02794852672119188,173.0,0.057684462483949844,155.0,0.03743462807102733,175.0
sterimol_B5_vburminconf,-0.07486238563229673,-0.08254547757223962,0.02644640742179076,-0.12375125476437013,0.07486238563229673,145.0,0.08254547757223962,150.0,0.02644640742179076,168.0,0.12375125476437013,129.0
sterimol_burB1_boltz,-0.17129878862880982,-0.1450631799926989,0.14617553284302895,-0.04606622305690768,0.17129878862880982,99.0,0.1450631799926989,126.0,0.14617553284302895,109.0,0.04606622305690768,171.0
sterimol_burB1_delta,-0.6465512423442222,-0.6329936508062851,-0.28540945752073005,-0.5152498878078872,0.6465512423442222,16.0,0.6329936508062851,20.0,0.28540945752073005,36.0,0.5152498878078872,28.0
sterimol_burB1_max,-0.45323285787261836,-0.46535510276290454,0.0027952071678192247,-0.29393406796239013,0.45323285787261836,37.0,0.46535510276290454,39.0,0.0027952071678192247,184.0,0.29393406796239013,65.0
sterimol_burB1_min,0.19960596567320849,0.25774400623714194,0.26647446672811187,0.28697445791122733,0.19960596567320849,90.0,0.25774400623714194,80.0,0.26647446672811187,47.0,0.28697445791122733,68.0
sterimol_burB1_vburminconf,-0.14127184316324556,-0.08512099113753271,0.22389023547143067,0.04628157453414722,0.14127184316324556,115.0,0.08512099113753271,148.0,0.22389023547143067,67.0,0.04628157453414722,170.0
sterimol_burB5_boltz,-0.05739569233793267,-0.12823757865059215,0.0310441567255527,-0.016086859276559007,0.05739569233793267,155.0,0.12823757865059215,130.0,0.0310441567255527,166.0,0.016086859276559007,181.0
sterimol_burB5_delta,-0.05315166861721022,0.008068506593793916,0.032122982031917824,-0.13583267456024095,0.05315166861721022,156.0,0.008068506593793916,185.0,0.032122982031917824,165.0,0.13583267456024095,121.0
sterimol_burB5_max,0.0013988524416981044,-0.01378845419839635,0.017024518412939442,-0.07778636666973396,0.0013988524416981044,185.0,0.01378845419839635,182.0,0.017024518412939442,176.0,0.07778636666973396,154.0
sterimol_burB5_min,0.060694075470913066,-0.03722161168485242,-0.005167757309018098,0.02375768744869772,0.060694075470913066,152.0,0.03722161168485242,167.0,0.005167757309018098,182.0,0.02375768744869772,178.0
sterimol_burB5_vburminconf,-0.061720197740354664,-0.09081505355980779,-0.04929018290079574,-0.13010257939622002,0.061720197740354664,150.0,0.09081505355980779,147.0,0.04929018290079574,157.0,0.13010257939622002,127.0
