equivalents,comp_yield,ddG,comp_yield_minus,comp_yield_plus,corrected_ddG,corrected_ddG_minus,corrected_ddG_plus,nice_comp_yield,nice_comp_yield_minus,nice_comp_yield_plus
3.5,0.035,1.068831265,0.007758353,0.155739764,-0.691599579,-1.691599579,0.308400421,3.5,0.7758353,15.5739764
3.5,0.04,1.157711124,0.008871668,0.177539861,-0.60271972,-1.60271972,0.39728028,4,0.8871668,17.7539861
3.5,0.045,1.236165563,0.009986237,0.199229064,-0.52426528,-1.52426528,0.47573472,4.5,0.9986237,19.9229064
3.5,0.05,1.306396409,0.011102063,0.220807783,-0.454034435,-1.454034435,0.545965565,5,1.1102063,22.0807783
3.5,0.055,1.369974154,0.012219151,0.242276429,-0.39045669,-1.39045669,0.60954331,5.5,1.2219151,24.2276429
3.5,0.06,1.428058345,0.013337502,0.263635389,-0.332372498,-1.332372498,0.667627502,6,1.3337502,26.3635389
3.5,0.065,1.481529609,0.014457121,0.284885077,-0.278901234,-1.278901234,0.721098766,6.5,1.4457121,28.4885077
3.5,0.07,1.53107244,0.01557801,0.306025889,-0.229358404,-1.229358404,0.770641596,7,1.557801,30.6025889
3.5,0.075,1.577229469,0.016700173,0.327058227,-0.183201375,-1.183201375,0.816798625,7.5,1.6700173,32.7058227
3.5,0.08,1.620438139,0.017823613,0.347982492,-0.139992705,-1.139992705,0.860007295,8,1.7823613,34.7982492
3.5,0.085,1.66105625,0.018948334,0.368799081,-0.099374594,-1.099374594,0.900625406,8.5,1.8948334,36.8799081
3.5,0.09,1.699380191,0.020074339,0.389508385,-0.061050653,-1.061050653,0.938949347,9,2.0074339,38.9508385
3.5,0.095,1.735658239,0.021201631,0.410110808,-0.024772604,-1.024772604,0.975227396,9.5,2.1201631,41.0110808
3.5,0.1,1.770100435,0.022330214,0.430606753,0.009669592,-0.990330408,1.009669592,10,2.2330214,43.0606753
3.5,0.11,1.834169363,0.024591264,0.471280761,0.073738519,-0.926261481,1.073738519,11,2.4591264,47.1280761
3.5,0.12,1.892746559,0.026857518,0.511533554,0.132315715,-0.867684285,1.132315715,12,2.6857518,51.1533554
3.5,0.13,1.946712634,0.029129002,0.551368254,0.18628179,-0.81371821,1.18628179,13,2.9129002,55.1368254
3.5,0.14,1.996752108,0.031405744,0.590788014,0.236321264,-0.763678736,1.236321264,14,3.1405744,59.0788014
3.5,0.15,2.04340762,0.033687772,0.629795918,0.282976776,-0.717023224,1.282976776,15,3.3687772,62.9795918
3.5,0.16,2.087116618,0.035975114,0.668395063,0.326685775,-0.673314225,1.326685775,16,3.5975114,66.8395063
3.5,0.17,2.128236919,0.038267798,0.706588509,0.367806075,-0.632193925,1.367806075,17,3.8267798,70.6588509
3.5,0.18,2.167064928,0.040565854,0.744379343,0.406634084,-0.593365916,1.406634084,18,4.0565854,74.4379343
3.5,0.19,2.203848938,0.042869309,0.781770625,0.443418094,-0.556581906,1.443418094,19,4.2869309,78.1770625
3.5,0.2,2.238799002,0.045178194,0.818765434,0.478368158,-0.521631842,1.478368158,20,4.5178194,81.8765434
3.5,0.25,2.391526094,0.056805084,0.910257323,0.631095251,-0.368904749,1.631095251,25,5.6805084,91.0257323
3.5,0.3,2.51729185,0.0685722,0.924431772,0.756861007,-0.243138993,1.756861007,30,6.85722,92.4431772
3.5,0.35,2.624473598,0.080483464,0.934875532,0.864042755,-0.135957245,1.864042755,35,8.0483464,93.4875532
3.5,0.4,2.718072674,0.092542973,0.942892122,0.957641831,-0.042358169,1.957641831,40,9.2542973,94.2892122
3.5,0.45,2.801315792,0.104755008,0.949240815,1.040884948,0.040884948,2.040884948,45,10.4755008,94.9240815
3.5,0.5,2.876406851,0.117124046,0.954393964,1.115976008,0.115976008,2.115976008,50,11.7124046,95.4393964
3.5,0.55,2.944918519,0.129654776,0.958660891,1.184487675,0.184487675,2.184487675,55,12.9654776,95.8660891
3.5,0.6,3.008012625,0.142352103,0.962252657,1.247581781,0.247581781,2.247581781,60,14.2352103,96.2252657
3.5,0.65,3.066572185,0.155221179,0.965318229,1.306141341,0.306141341,2.306141341,65,15.5221179,96.5318229
3.5,0.7,3.121284183,0.168267391,0.967965755,1.360853339,0.360853339,2.360853339,70,16.8267391,96.7965755
3.5,0.75,3.172693894,0.181496419,0.970275641,1.412263051,0.412263051,2.412263051,75,18.1496419,97.0275641
3.5,0.8,3.221241528,0.194914209,0.972308931,1.460810685,0.460810685,2.460810685,80,19.4914209,97.2308931
3.5,0.81,3.230640509,0.197620962,0.972686747,1.470209665,0.470209665,2.470209665,81,19.7620962,97.2686747
3.5,0.82,3.239942177,0.200335562,0.973055739,1.479511334,0.479511334,2.479511334,82,20.0335562,97.3055739
3.5,0.83,3.249149061,0.20305808,0.973416218,1.488718218,0.488718218,2.488718218,83,20.305808,97.3416218
3.5,0.84,3.25826349,0.205788551,0.973768478,1.497832646,0.497832646,2.497832646,84,20.5788551,97.3768478
3.5,0.85,3.267287761,0.208527028,0.974112798,1.506856917,0.506856917,2.506856917,85,20.8527028,97.4112798
3.5,0.86,3.276224115,0.211273569,0.974449446,1.515793271,0.515793271,2.515793271,86,21.1273569,97.4449446
3.5,0.87,3.28507469,0.214028232,0.974778678,1.524643846,0.524643846,2.524643846,87,21.4028232,97.4778678
3.5,0.88,3.293841552,0.216791067,0.975100738,1.533410709,0.533410709,2.533410709,88,21.6791067,97.5100738
3.5,0.89,3.30252672,0.219562137,0.975415862,1.542095876,0.542095876,2.542095876,89,21.9562137,97.5415862
3.5,0.9,3.31113348,0.222341933,0.975724322,1.550702636,0.550702636,2.550702636,90,22.2341933,97.5724322
3.5,0.905,3.349363494,0.235105331,0.977049619,1.58893265,0.58893265,2.58893265,90.5,23.5105331,97.7049619
3.5,0.91,3.389412111,0.249232063,0.978362451,1.628981268,0.628981268,2.628981268,91,24.9232063,97.8362451
3.5,0.915,3.431488223,0.264951586,0.979662896,1.67105738,0.67105738,2.67105738,91.5,26.4951586,97.9662896
3.5,0.92,3.475840232,0.282548506,0.980951098,1.715409389,0.715409389,2.715409389,92,28.2548506,98.0951098
3.5,0.925,3.522764877,0.302379563,0.982227191,1.762334034,0.762334034,2.762334034,92.5,30.2379563,98.2227191
3.5,0.93,3.572620069,0.324897763,0.9834913,1.812189226,0.812189226,2.812189226,93,32.4897763,98.34913
3.5,0.935,3.625843484,0.350687373,0.98474356,1.86541264,0.86541264,2.86541264,93.5,35.0687373,98.474356
3.5,0.94,3.682977958,0.380514978,0.985984095,1.922547114,0.922547114,2.922547114,94,38.0514978,98.5984095
3.5,0.945,3.744708212,0.415406493,0.987213033,1.984277368,0.984277368,2.984277368,94.5,41.5406493,98.7213033
3.5,0.95,3.811915018,0.456766704,0.988430497,2.051484175,1.051484175,3.051484175,95,45.6766704,98.8430497
3.5,0.955,3.88575821,0.506571344,0.989636607,2.125327366,1.125327366,3.125327366,95.5,50.6571344,98.9636607
3.5,0.96,3.967808406,0.567688753,0.990831486,2.207377562,1.207377562,3.207377562,96,56.7688753,99.0831486
3.5,0.965,4.060267628,0.644445219,0.992015251,2.299836785,1.299836785,3.299836785,96.5,64.4445219,99.2015251
3.5,0.97,4.166360752,0.743678762,0.993188017,2.405929909,1.405929909,3.405929909,97,74.3678762,99.3188017
3.5,0.975,4.291087578,0.876848492,0.994349903,2.530656735,1.530656735,3.530656735,97.5,87.6848492,99.4349903
3.5,0.98,4.442823614,0.916303867,0.99550102,2.682392771,1.682392771,3.682392771,98,91.6303867,99.550102
3.5,0.985,4.637270318,0.936029742,0.996641477,2.876839474,1.876839474,3.876839474,98.5,93.6029742,99.6641477
3.5,0.99,4.909677625,0.956515682,0.997771388,3.149246781,2.149246781,4.149246781,99,95.6515682,99.7771388
3.5,0.995,5.372525282,0.977818047,0.99889086,3.612094438,2.612094438,4.612094438,99.5,97.7818047,99.889086
5,0.005,-0.458558367,0.001104442,0.022604808,-1.982870304,-2.982870304,-0.982870304,0.5,0.1104442,2.2604808
5,0.01,0.000662326,0.002209744,0.045129919,-1.523649611,-2.523649611,-0.523649611,1,0.2209744,4.5129919
5,0.015,0.269426979,0.003315908,0.067575522,-1.254884958,-2.254884958,-0.254884958,1.5,0.3315908,6.7575522
5,0.02,0.460215151,0.004422937,0.089941818,-1.064096785,-2.064096785,-0.064096785,2,0.4422937,8.9941818
5,0.025,0.608276704,0.005530833,0.112229007,-0.916035233,-1.916035233,0.083964767,2.5,0.5530833,11.2229007
5,0.03,0.72931286,0.006639596,0.134437292,-0.794999077,-1.794999077,0.205000923,3,0.6639596,13.4437292
5,0.035,0.831699128,0.007749229,0.15656687,-0.692612809,-1.692612809,0.307387191,3.5,0.7749229,15.656687
5,0.04,0.920434951,0.008859734,0.178617945,-0.603876986,-1.603876986,0.396123014,4,0.8859734,17.8617945
5,0.045,0.998745052,0.009971111,0.200590713,-0.525566884,-1.525566884,0.474433116,4.5,0.9971111,20.0590713
5,0.05,1.068831262,0.011083361,0.222485373,-0.455480675,-1.455480675,0.544519325,5,1.1083361,22.2485373
5,0.055,1.132264063,0.012196488,0.244302129,-0.392047874,-1.392047874,0.607952126,5.5,1.2196488,24.4302129
5,0.06,1.190203032,0.013310492,0.266041176,-0.334108905,-1.334108905,0.665891095,6,1.3310492,26.6041176
5,0.065,1.243528768,0.014425375,0.287702716,-0.280783169,-1.280783169,0.719216831,6.5,1.4425375,28.7702716
5,0.07,1.292925775,0.015541139,0.309286945,-0.231386161,-1.231386161,0.768613839,7,1.5541139,30.9286945
5,0.075,1.338936676,0.016657785,0.33079406,-0.185375261,-1.185375261,0.814624739,7.5,1.6657785,33.079406
5,0.08,1.381998907,0.017775314,0.352224257,-0.14231303,-1.14231303,0.85768697,8,1.7775314,35.2224257
5,0.085,1.422470283,0.018893728,0.373577741,-0.101841654,-1.101841654,0.898158346,8.5,1.8893728,37.3577741
5,0.09,1.460647186,0.02001303,0.394854695,-0.063664751,-1.063664751,0.936335249,9,2.001303,39.4854695
5,0.095,1.496777891,0.02113322,0.416055331,-0.027534046,-1.027534046,0.972465954,9.5,2.113322,41.6055331
5,0.1,1.531072438,0.0222543,0.437179846,0.006760501,-0.993239499,1.006760501,10,2.22543,43.7179846
5,0.11,1.594845142,0.024499137,0.479201265,0.070533205,-0.929466795,1.070533205,11,2.4499137,47.9201265
5,0.12,1.653124879,0.026747554,0.520920514,0.128812942,-0.871187058,1.128812942,12,2.6747554,52.0920514
5,0.13,1.706792252,0.028999563,0.562339164,0.182480315,-0.817519685,1.182480315,13,2.8999563,56.2339164
5,0.14,1.756531755,0.031255179,0.603458761,0.232219818,-0.767780182,1.232219818,14,3.1255179,60.3458761
5,0.15,1.802886062,0.033514415,0.64428087,0.278574125,-0.721425875,1.278574125,15,3.3514415,64.428087
5,0.16,1.846292573,0.035777282,0.684807016,0.321980636,-0.678019364,1.321980636,16,3.5777282,68.4807016
5,0.17,1.887109108,0.038043796,0.725038765,0.362797171,-0.637202829,1.362797171,17,3.8043796,72.5038765
5,0.18,1.925632064,0.040313969,0.764977639,0.401320127,-0.598679873,1.401320127,18,4.0313969,76.4977639
5,0.19,1.962109715,0.042587815,0.804625177,0.437797778,-0.562202222,1.437797778,19,4.2587815,80.4625177
5,0.2,1.996752104,0.044865348,0.843982875,0.472440167,-0.527559833,1.472440167,20,4.4865348,84.3982875
5,0.25,2.147920956,0.05630879,0.913186307,0.623609019,-0.376390981,1.623609019,25,5.630879,91.3186307
5,0.3,2.272094394,0.06784648,0.926839297,0.747782457,-0.252217543,1.747782457,30,6.784648,92.6839297
5,0.35,2.377648506,0.079480211,0.936871249,0.853336569,-0.146663431,1.853336569,35,7.9480211,93.6871249
5,0.4,2.469583329,0.091211828,0.944555009,0.945271392,-0.054728608,1.945271392,40,9.1211828,94.4555009
5,0.45,2.551124192,0.103043228,0.950629249,1.026812255,0.026812255,2.026812255,45,10.3043228,95.0629249
5,0.5,2.624473596,0.114976376,0.955552147,1.100161659,0.100161659,2.100161659,50,11.4976376,95.5552147
5,0.55,2.691202643,0.12701329,0.959623014,1.166890706,0.166890706,2.166890706,55,12.701329,95.9623014
5,0.6,2.752471583,0.139156053,0.963045669,1.228159646,0.228159646,2.228159646,60,13.9156053,96.3045669
5,0.65,2.809161753,0.151406815,0.965963721,1.284849816,0.284849816,2.284849816,65,15.1406815,96.5963721
5,0.7,2.86195834,0.163767796,0.968481265,1.337646403,0.337646403,2.337646403,70,16.3767796,96.8481265
5,0.75,2.911404705,0.176241281,0.970675612,1.387092768,0.387092768,2.387092768,75,17.6241281,97.0675612
5,0.8,2.957939077,0.18882964,0.972605375,1.43362714,0.43362714,2.43362714,80,18.882964,97.2605375
5,0.81,2.966929266,0.191361315,0.97296375,1.442617329,0.442617329,2.442617329,81,19.1361315,97.296375
5,0.82,2.975820044,0.1938977,0.973313693,1.451508107,0.451508107,2.451508107,82,19.38977,97.3313693
5,0.83,2.984613866,0.196438813,0.973655497,1.460301929,0.460301929,2.460301929,83,19.6438813,97.3655497
5,0.84,2.993313116,0.198984681,0.973989445,1.469001179,0.469001179,2.469001179,84,19.8984681,97.3989445
5,0.85,3.001920081,0.201535325,0.974315806,1.477608144,0.477608144,2.477608144,85,20.1535325,97.4315806
